0,1,2,3
BB_x_1.mat,[],[],[]
BB_y_1.mat,[],[],[]
BB_z_1.mat,[],[],[]
BB_x_2.mat,[],[],[]
BB_y_2.mat,[],[],[]
BB_z_2.mat,[],[],[]
BB_x_3.mat,[],[],[]
BB_y_3.mat,[],[],[]
BB_z_3.mat,[],[],[]
BB_x_4.mat,[],[],[]
BB_y_4.mat,[],[],[]
BB_z_4.mat,[],[],[]
BB_x_5.mat,[],[],[]
BB_y_5.mat,[],[],[]
BB_z_5.mat,[],[],[]
BB_x_6.mat,[],[],[]
BB_y_6.mat,[],[],[]
BB_z_6.mat,[],[],[]
BB_x_7.mat,[],[],[]
BB_y_7.mat,[],[],[]
BB_z_7.mat,[],[],[]
BB_x_8.mat,[],[],[]
BB_y_8.mat,[],[],[]
BB_z_8.mat,[],[],[]
BB_x_9.mat,[],[],[]
BB_y_9.mat,[],[],[]
BB_z_9.mat,[],[],[]
BB_x_10.mat,[],[],[]
BB_y_10.mat,[],[],[]
BB_z_10.mat,[],[],[]
BB_x_11.mat,[],[],[]
BB_y_11.mat,[],[],[]
BB_z_11.mat,[],[],[]
BB_x_12.mat,[],[],[]
BB_y_12.mat,[],[],[]
BB_z_12.mat,[],[],[]
BB_x_13.mat,[],[],[]
BB_y_13.mat,[],[],[]
BB_z_13.mat,[],[],[]
BB_x_14.mat,[],[],[]
BB_y_14.mat,[],[],[]
BB_z_14.mat,[],[],[]
BB_x_15.mat,[],[],[]
BB_y_15.mat,[],[],[]
BB_z_15.mat,[],[],[]
BB_x_16.mat,[],[],[]
BB_y_16.mat,[],[],[]
BB_z_16.mat,[],[],[]
BB_x_17.mat,[],[],[]
BB_y_17.mat,[],[],[]
BB_z_17.mat,[],[],[]
BB_x_18.mat,[],[],[]
BB_y_18.mat,[],[],[]
BB_z_18.mat,[],[],[]
BB_x_19.mat,[],[],[]
BB_y_19.mat,[],[],[]
BB_z_19.mat,[],[],[]
BB_x_20.mat,[],[],[]
BB_y_20.mat,[],[],[]
BB_z_20.mat,[],[],[]
BB_x_21.mat,[],[],[]
BB_y_21.mat,[],[],[]
BB_z_21.mat,[],[],[]
BB_x_22.mat,[],[],[]
BB_y_22.mat,[],[],[]
BB_z_22.mat,[],[],[]
BB_x_23.mat,[],[],[]
BB_y_23.mat,[],[],[]
BB_z_23.mat,[],[],[]
BB_x_24.mat,[],[],[]
BB_y_24.mat,[],[],[]
BB_z_24.mat,[],[],[]
BB_x_25.mat,[],[],[]
BB_y_25.mat,[],[],[]
BB_z_25.mat,[],[],[]
BB_x_26.mat,[],[],[]
BB_y_26.mat,[],[],[]
BB_z_26.mat,[],[],[]
BB_x_27.mat,[],[],[]
BB_y_27.mat,[],[],[]
BB_z_27.mat,[],[],[]
BB_x_28.mat,[],[],[]
